City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port mathurin,-19.6833,63.4167,24.1,77,69,9.3,MU,1731297836
83,pallattur,10.15,78.8,27.83,64,30,6.29,IN,1731297999
84,buka,40.8108,69.1986,8.82,57,0,1.23,UZ,1731297836
85,baharly,38.4362,57.4316,11.67,52,11,1.87,TM,1731297837
86,alice springs,-23.7,133.8833,30.75,40,74,4.12,AU,1731297837
87,ponta delgada,37.7333,-25.6667,20.4,88,75,6.69,PT,1731297857
88,sabang,5.8933,95.3214,27.71,77,81,1.97,ID,1731298005
89,coquimbo,-29.9533,-71.3436,13.85,88,0,1.54,CL,1731298006
90,blackmans bay,-43.0167,147.3167,17.07,62,3,5.9,AU,1731298007
91,papatowai,-46.5619,169.4708,13.29,50,55,5.81,NZ,1731298008
92,hobyo,5.3505,48.5268,25.96,78,100,8.59,SO,1731298009
93,amir timur,41.0194,68.9408,8.5,60,6,1.06,UZ,1731297838
94,longyearbyen,78.2186,15.6401,-2.09,100,100,2.06,SJ,1731297746
95,ceelbuur,4.685,46.6176,25.98,72,80,2.48,SO,1731298013
96,kodiak,57.79,-152.4072,3.73,75,0,3.6,US,1731298014
97,kiuruvesi,63.65,26.6167,-0.65,83,100,1.81,FI,1731298015
98,shahrud,36.4182,54.9763,9.15,50,0,0.36,IR,1731297838
99,ti port-de-paix,19.9333,-72.8333,26.81,80,56,5.75,HT,1731298017
100,badger,64.8,-147.5333,-17.07,85,0,1.54,US,1731298018
101,nabire,-3.3667,135.4833,31.0,61,91,3.11,ID,1731297839
102,elverum,60.8819,11.5623,2.29,98,100,0.54,NO,1731297839
103,alofi,-19.0595,-169.9187,23.94,94,75,6.17,NU,1731298022
104,solleftea,63.1667,17.2667,2.31,92,100,1.71,SE,1731298023
105,zuera,41.8677,-0.7898,11.71,87,5,1.88,ES,1731297839
106,boa esperanca,-21.09,-45.5658,17.83,86,0,3.43,BR,1731298025
107,beyneu,45.3167,55.2,3.58,91,22,1.76,KZ,1731298026
108,ugoofaaru,5.6667,73.0,28.23,72,19,3.11,MV,1731298028
109,taoudenni,22.6783,-3.9836,22.75,18,36,3.44,ML,1731298030
110,cockburn town,21.4612,-71.1419,27.87,80,70,8.69,TC,1731298031
111,klyuchi,52.2667,79.1667,0.33,98,100,6.1,RU,1731298032
112,morehead city,34.7229,-76.726,22.02,81,20,4.12,US,1731298033
113,ancud,-41.8697,-73.8203,7.45,79,7,2.76,CL,1731298035
114,ust-nera,64.5667,143.2,-22.77,98,96,1.12,RU,1731298037
115,san patricio,28.017,-97.5169,22.97,77,20,1.89,US,1731297840
116,bhandara,21.1667,79.65,24.84,56,0,2.65,IN,1731298039
117,las palmas,28.4204,-14.0131,19.44,88,20,5.66,ES,1731298040
